Location,Annual_appreciation,Median_house_price
Iowa,4.2,230.6
Ohio,5.57,240.9
Kentucky,6.08,251.3
Michigan,4.52,252.2
Oklahoma,6.44,253.2
Missouri,5.68,255.4
Louisiana,2.12,257.4
Indiana,6.08,258
Arkansas,6.94,258.1
Mississippi,5.1,271.2
Wyoming,2.45,276
Kansas,4.98,276.3
Pennsylvania,5.14,278.7
Illinois,5.08,280.9
Alabama,4.38,284.9
Nebraska,4.81,290.5
Wisconsin,6.4,297.1
West Virginia,1.95,304.4
North Dakota,3.9,308
Delaware,2.66,327.3
South Dakota,5.54,332
Minnesota,2.27,341.7
New Mexico,4.89,349.2
Texas,1.57,357.8
North Carolina,5,371.1
Maine,7.59,373.7
South Carolina,6.58,374.2
Georgia,4.64,375.3
Tennessee,3.24,377.2
Alaska,5.26,379.6
Vermont,6.9,385.3
Connecticut,7.58,393.7
Florida,3.54,407.2
Maryland,4.39,421.8
Nevada,-5.32,428.1
Arizona,-2.52,436.1
Virginia,4.6,440.2
New Hampshire,7.09,452.7
Idaho,-4.13,460.9
Rhode Island,3.58,462.1
New Jersey,6.92,477.6
Oregon,-1.61,510.9
Montana,3.86,527
Utah,-4.48,529.6
Colorado,-2.5,580.9
Massachusetts,2.9,614.7
Washington,-3.44,618
District of Columbia,-4.94,668.25
Hawaii,5.3,720.2
California,-2.14,785.9
New York,3.74,819.9
